CCAA Codigo ISO,Fecha,Casos ,Hospitalizados,UCI,Fallecidos,Recuperados
VC,09/03/2020,50,,1,1,1
EX,09/03/2020,8,,0,0,1
GA,09/03/2020,22,,2,0,
MD,09/03/2020,782,,77,21,109
ME,09/03/2020,,,0,0,
MC,09/03/2020,9,,0,0,
NC,09/03/2020,12,,2,0,
PV,09/03/2020,195,,5,6,2
RI,09/03/2020,144,,1,1,
AN,10/03/2020,90,32,3,0,11
AR,10/03/2020,45,22,3,4,0
AS,10/03/2020,32,12,2,0,1
IB,10/03/2020,16,8,1,0,1
CN,10/03/2020,37,10,1,0,5
CB,10/03/2020,12,0,0,0,0
CM,10/03/2020,71,0,5,0,2
CL,10/03/2020,64,14,2,0,0
CT,10/03/2020,156,0,0,3,0
CE,10/03/2020,0,0,0,0,0
VC,10/03/2020,65,0,1,1,1
EX,10/03/2020,9,2,1,1,1
GA,10/03/2020,35,7,2,0,0
MD,10/03/2020,1024,0,102,31,157
ME,10/03/2020,0,0,0,0,0
MC,10/03/2020,11,4,0,0,0
NC,10/03/2020,46,10,3,0,0
PV,10/03/2020,225,102,15,6,2
RI,10/03/2020,179,13,1,2,1
AN,11/03/2020,115,50,4,0,11
AR,11/03/2020,64,28,3,6,0
AS,11/03/2020,47,12,2,1,1
IB,11/03/2020,22,8,2,1,1
CN,11/03/2020,51,15,3,0,5
CB,11/03/2020,16,3,0,0,6
CM,11/03/2020,115,39,9,1,2
CL,11/03/2020,71,24,2,0,0
CT,11/03/2020,260,0,0,4,0
CE,11/03/2020,0,0,0,0,0
VC,11/03/2020,76,22,2,1,1
EX,11/03/2020,19,2,1,1,3
GA,11/03/2020,35,7,2,0,0
MD,11/03/2020,1388,0,135,56,157
ME,11/03/2020,0,0,0,0,0
MC,11/03/2020,26,5,1,0,0
NC,11/03/2020,73,17,3,0,0
PV,11/03/2020,346,146,18,11,1
RI,11/03/2020,205,21,1,2,1
AN,12/03/2020,219,92,8,0,0
AR,12/03/2020,80,30,3,7,0
AS,12/03/2020,67,16,2,1,1
IB,12/03/2020,28,9,2,1,1
CN,12/03/2020,70,15,3,0,5
CB,12/03/2020,29,3,0,0,7
CM,12/03/2020,194,78,10,5,1
CL,12/03/2020,92,25,4,0,1
CT,12/03/2020,316,0,25,6,0
CE,12/03/2020,0,0,0,0,0
VC,12/03/2020,94,23,2,1,2
EX,12/03/2020,39,3,1,1,3
GA,12/03/2020,85,15,2,0,0
MD,12/03/2020,1990,1304,180,81,157
ME,12/03/2020,2,3,0,0,0
MC,12/03/2020,35,8,2,0,0
NC,12/03/2020,130,28,4,0,0
PV,12/03/2020,417,179,20,14,2
RI,12/03/2020,243,27,2,3,1
AN,13/03/2020,269,92,8,2,0
AR,13/03/2020,121,42,5,7,0
AS,13/03/2020,92,16,2,1,1
IB,13/03/2020,28,9,2,1,1
CN,13/03/2020,90,15,6,1,7
CB,13/03/2020,31,3,0,0,7
CM,13/03/2020,289,78,10,6,5
CL,13/03/2020,169,25,8,1,2
CT,13/03/2020,509,0,33,6,0
CE,13/03/2020,0,0,0,0,0
VC,13/03/2020,130,31,4,4,2
EX,13/03/2020,66,3,1,2,4
GA,13/03/2020,115,32,7,0,3
MD,13/03/2020,2940,1518,180,86,474
ME,13/03/2020,3,3,0,0,0
MC,13/03/2020,47,8,2,0,0
NC,13/03/2020,146,28,4,0,0
PV,13/03/2020,521,179,22,14,5
RI,13/03/2020,278,38,2,3,1
AN,14/03/2020,437,92,8,6,0
AR,14/03/2020,147,59,5,7,0
AS,14/03/2020,137,16,3,1,1
IB,14/03/2020,42,9,2,1,1
CN,14/03/2020,109,15,6,1,7
CB,14/03/2020,51,3,0,0,10
CM,14/03/2020,401,78,10,10,5
CL,14/03/2020,223,45,8,3,3
CT,14/03/2020,715,0,33,8,0
CE,14/03/2020,1,0,0,0,0
VC,14/03/2020,409,31,4,5,2
EX,14/03/2020,95,8,1,2,4
GA,14/03/2020,195,32,8,2,4
MD,14/03/2020,3544,2337,253,213,474
ME,14/03/2020,8,4,0,0,0
MC,14/03/2020,71,13,2,0,0
NC,14/03/2020,183,34,4,0,0
PV,14/03/2020,630,262,29,23,5
RI,14/03/2020,300,58,7,3,1
AN,15/03/2020,554,197,11,7,0
AR,15/03/2020,174,64,7,11,0
AS,15/03/2020,177,16,3,1,3
IB,15/03/2020,73,21,4,1,1
CN,15/03/2020,119,40,9,1,7
CB,15/03/2020,58,18,2,0,10
CM,15/03/2020,567,207,23,17,12
CL,15/03/2020,292,45,8,6,5
CT,15/03/2020,903,0,33,12,0
CE,15/03/2020,1,0,0,0,0
VC,15/03/2020,409,31,4,5,2
EX,15/03/2020,111,9,1,2,4
GA,15/03/2020,245,49,9,2,4
MD,15/03/2020,4165,2337,253,213,474
ME,15/03/2020,8,4,0,0,0
MC,15/03/2020,77,13,2,0,1
NC,15/03/2020,274,58,5,1,0
PV,15/03/2020,630,262,29,23,5
RI,15/03/2020,312,64,13,4,2
AN,16/03/2020,683,229,13,11,0
AR,16/03/2020,207,74,9,12,0
AS,16/03/2020,193,34,5,1,3
IB,16/03/2020,92,26,4,1,1
CN,16/03/2020,148,56,13,2,8
CB,16/03/2020,58,18,2,0,10
CM,16/03/2020,567,207,23,17,12
CL,16/03/2020,431,95,24,12,5
CT,16/03/2020,1394,0,33,18,0
CE,16/03/2020,1,0,0,0,0
VC,16/03/2020,541,135,27,13,12
EX,16/03/2020,153,18,2,3,5
GA,16/03/2020,292,49,9,3,7
MD,16/03/2020,4871,3710,340,355,951
ME,16/03/2020,17,4,0,0,0
MC,16/03/2020,97,18,3,0,1
NC,16/03/2020,313,72,10,2,0
PV,16/03/2020,765,309,33,36,11
RI,16/03/2020,355,82,13,5,2
AN,17/03/2020,859,319,21,19,38
AR,17/03/2020,226,81,9,13,0
AS,17/03/2020,242,45,5,1,4
IB,17/03/2020,112,29,4,1,4
CN,17/03/2020,181,73,17,3,8
CB,17/03/2020,68,25,3,1,10
CM,17/03/2020,675,277,29,28,15
CL,17/03/2020,668,219,43,22,5
CT,17/03/2020,1866,0,33,41,0
CE,17/03/2020,1,0,0,0,0
VC,17/03/2020,726,252,40,22,16
EX,17/03/2020,194,27,3,6,6
GA,17/03/2020,341,63,12,3,7
MD,17/03/2020,5637,3778,491,390,951
ME,17/03/2020,20,4,0,0,0
MC,17/03/2020,122,22,4,0,1
NC,17/03/2020,386,93,10,3,0
PV,17/03/2020,973,353,37,40,14
